org,group/chapter,city,event_title,start_date,start_time,end_date,end_time,address/venue,registration_url,source_url
ISACA,North Texas Chapter,Dallas,Invitation to IN PERSON ISACA NTX & IIA Joint Meeting at UT Dallas -Davidson-Gundy Alumni Center,2026-02-06,09:00,2026-02-06,,,https://engage.isaca.org/northtexaschapter/events/eventdescription?CalendarEventKey=e24ed5a9-29ce-4506-9e91-019bb4890c99&CommunityKey=216d5192-1574-4421-9bfa-6b470d758889&Home=%2fnorthtexaschapter%2fevents%2fcalendar,https://engage.isaca.org/northtexaschapter/events/calendar
ISACA,North Texas Chapter,Dallas,"Use the ""Show Filter"" button below to search for more events:",2026-02-06,09:00,2026-02-06,,,https://engage.isaca.org/northtexaschapter/events/calendar#MainCopy_ctl07_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/northtexaschapter/events/calendar
ISACA,North Texas Chapter,Dallas,"When: Feb 6, 2026 from 09:00 to 14:15 (CT) Where: UT Dallas",2026-02-06,09:00,2026-02-06,,,https://engage.isaca.org/northtexaschapter/home,https://engage.isaca.org/northtexaschapter/events/calendar
ISSA,Alamo (San Antonio),San Antonio,"February 2026 Quarterly Meeting - Women In Tech Feb 17, 2026, 12:00",2026-02-17,12:00,2026-02-17,,,https://www.alamoissa.org/event-details/february-2026-quarterly-meeting-women-in-tech,https://www.alamoissa.org/event-list
ISACA,San Antonio Chapter,Dallas,Chapter Events List,2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/events/calendar#MPContentArea,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,Dallas,Chapter Events List,2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,Dallas,February 2026,2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,San Antonio ISACA/San Antonio IIA Joint Chapter Meeting: The Intersection of Fraud Prevention and Cy,2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/events/eventdescription?CalendarEventKey=582d5036-d717-4444-b747-019aea13110c&CommunityKey=055116bc-6d30-4517-a6d0-2dc87e2f5c36&Home=%2fsanantoniochapter%2fevents%2fcalendar,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,Dallas,"Use the ""Show Filter"" button below to search for more events:",2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,"When: Feb 25, 2026 from 11:30 to 13:30 (CT) Where: Alamo Cafe,",2026-02-25,11:30,2026-02-25,,,https://engage.isaca.org/sanantoniochapter/home,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,Austin Chapter,Dallas,Chapter Events List,2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/events/calendar#MPContentArea,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Dallas,Chapter Events List,2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/austinchapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,Compass IT Compliance Free Webinar: The GRC Loop: Why Your Security Controls Keep Failing the Same T,2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/sanantoniochapter/events/eventdescription?CalendarEventKey=02845a5c-b35f-4b40-aa84-019b08b51b96&CommunityKey=055116bc-6d30-4517-a6d0-2dc87e2f5c36&Home=%2fsanantoniochapter%2fevents%2fcalendar,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,Austin Chapter,Dallas,February 2026,2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Dallas,"Use the ""Show Filter"" button below to search for more events:",2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/events/calendar#MainCopy_ctl06_CalendarEventsList_AddTagAnchorLink_0,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Austin,Virtual: The GRC Loop: Why Your Security Controls Keep Failing the Same Tests,2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/events/eventdescription?CalendarEventKey=b979b369-bf86-49ff-a0fd-019b0573e3c2&CommunityKey=1cb84d21-5119-48d6-8801-3dcb8ebb5c1c&Home=%2faustinchapter%2fevents%2fcalendar,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Austin,"When: Feb 26, 2026 from 12:00 to 13:00 (CT) Community: Austin Chapter",2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/austinchapter/home,https://engage.isaca.org/austinchapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,"When: Feb 26, 2026 from 12:00 to 13:00 (CT) Community: San Antonio",2026-02-26,12:00,2026-02-26,,,https://engage.isaca.org/sanantoniochapter/home,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,Houston,CS4CA USA - Cyber Security for Critical Assets Summit,2026-03-10,08:00,2026-03-10,,,https://engage.isaca.org/sanantoniochapter/events/eventdescription?CalendarEventKey=38288399-ec99-4751-b43a-019b4b9efd13&CommunityKey=055116bc-6d30-4517-a6d0-2dc87e2f5c36&Home=%2fsanantoniochapter%2fevents%2fcalendar,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,Houston,"Starts: Mar 10, 2026 08:00 (CT) Ends: Mar 11, 2026 17:00 (CT)",2026-03-10,08:00,2026-03-10,,,https://engage.isaca.org/sanantoniochapter/home,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,Compass IT Compliance Free Webinar: The DIY Security Audit: How to Test Your Facility's Physical Def,2026-03-24,12:00,2026-03-24,,,https://engage.isaca.org/sanantoniochapter/events/eventdescription?CalendarEventKey=1c83d779-a0a2-44a5-abd1-019b08b9997a&CommunityKey=055116bc-6d30-4517-a6d0-2dc87e2f5c36&Home=%2fsanantoniochapter%2fevents%2fcalendar,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,Austin Chapter,Austin,Virtual: The DIY Security Audit: How to Test Your Facility's Physical Defenses,2026-03-24,12:00,2026-03-24,,,https://engage.isaca.org/austinchapter/events/eventdescription?CalendarEventKey=55ae3a98-b6d9-46c3-aa49-019b05795f97&CommunityKey=1cb84d21-5119-48d6-8801-3dcb8ebb5c1c&Home=%2faustinchapter%2fevents%2fcalendar,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Austin,"When: Mar 24, 2026 from 12:00 to 13:00 (CT) Community: Austin Chapter",2026-03-24,12:00,2026-03-24,,,https://engage.isaca.org/austinchapter/home,https://engage.isaca.org/austinchapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,"When: Mar 24, 2026 from 12:00 to 13:00 (CT) Community: San Antonio",2026-03-24,12:00,2026-03-24,,,https://engage.isaca.org/sanantoniochapter/home,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,Compass IT Compliance: Governing the Ungovernable: A Framework for AI Risk Management,2026-04-23,12:00,2026-04-23,,,https://engage.isaca.org/sanantoniochapter/events/eventdescription?CalendarEventKey=c98570cd-08cf-48df-af69-019b08c49225&CommunityKey=055116bc-6d30-4517-a6d0-2dc87e2f5c36&Home=%2fsanantoniochapter%2fevents%2fcalendar,https://engage.isaca.org/sanantoniochapter/events/calendar
ISACA,Austin Chapter,Austin,Virtual: Governing the Ungovernable: A Framework for AI Risk Management,2026-04-23,12:00,2026-04-23,,,https://engage.isaca.org/austinchapter/events/eventdescription?CalendarEventKey=4dae3bb4-4be4-4a75-b93b-019b0583861d&CommunityKey=1cb84d21-5119-48d6-8801-3dcb8ebb5c1c&Home=%2faustinchapter%2fevents%2fcalendar,https://engage.isaca.org/austinchapter/events/calendar
ISACA,Austin Chapter,Austin,"When: Apr 23, 2026 from 12:00 to 13:00 (CT) Community: Austin Chapter",2026-04-23,12:00,2026-04-23,,,https://engage.isaca.org/austinchapter/home,https://engage.isaca.org/austinchapter/events/calendar
ISACA,San Antonio Chapter,San Antonio,"When: Apr 23, 2026 from 12:00 to 13:00 (CT) Community: San Antonio",2026-04-23,12:00,2026-04-23,,,https://engage.isaca.org/sanantoniochapter/home,https://engage.isaca.org/sanantoniochapter/events/calendar
